alpha,beta,rho,q,mean
1,2,0.5,10000,1013.8269999999999
1,2,0.7,1,1009.027
1,2,0.7,100,1009.711
1,2,0.7,10000,973.027
1,2,0.9,1,993.4739999999998
1,2,0.9,100,986.6139999999999
1,2,0.9,10000,980.867
1,2,0.999,1,965.525
1,2,0.999,100,944.4740000000002
1,2,0.999,10000,995.1239999999998
1,5,0.3,1,947.969
1,5,0.3,100,948.3529999999998
1,5,0.3,10000,940.116
1,5,0.5,1,944.777
1,5,0.5,100,915.6389999999999
1,5,0.5,10000,936.0449999999998
1,5,0.7,1,928.3679999999998
1,5,0.7,100,938.7259999999999
1,5,0.7,10000,923.57
1,5,0.9,1,955.7860000000001
1,5,0.9,100,949.924
1,5,0.9,10000,932.652
1,5,0.999,1,958.668
1,5,0.999,100,944.3160000000001
1,5,0.999,10000,937.9909999999998
2,0,0.3,1,1094.7320000000002
2,0,0.3,100,1108.107
2,0,0.3,10000,1104.534
2,0,0.5,1,1118.2169999999999
2,0,0.5,100,1061.56
2,0,0.5,10000,1059.9820000000002
2,0,0.7,1,1022.0359999999998
2,0,0.7,100,1065.7279999999998
2,0,0.7,10000,1036.759
2,0,0.9,1,1043.6879999999996
2,0,0.9,100,1037.86
2,0,0.9,10000,1029.3529999999996
2,0,0.999,1,1059.982
2,0,0.999,100,1046.837
2,0,0.999,10000,1044.0760000000002
2,1,0.3,1,1038.248
2,1,0.3,100,1022.0359999999998
2,1,0.3,10000,1029.3529999999998
2,1,0.5,1,1027.864
2,1,0.5,100,1029.3529999999998
2,1,0.5,10000,1048.415
2,1,0.7,1,1016.2079999999999
2,1,0.7,100,1035.181
2,1,0.7,10000,1016.2080000000002
2,1,0.9,1,1055.732
2,1,0.9,100,1016.2079999999999
2,1,0.9,10000,1010.3799999999999
2,1,0.999,1,1027.8639999999998
2,1,0.999,100,1016.2080000000002
2,1,0.999,10000,1016.2079999999999
2,2,0.3,1,1029.3529999999998
2,2,0.3,100,1010.3799999999999
2,2,0.3,10000,1022.0359999999998
2,2,0.5,1,1023.5249999999999
2,2,0.5,100,1038.2479999999998
2,2,0.5,10000,1022.0359999999998
2,2,0.7,1,1035.181
2,2,0.7,100,1016.2079999999999
2,2,0.7,10000,1022.0359999999997
2,2,0.9,1,1029.3529999999996
2,2,0.9,100,1010.3799999999999
2,2,0.9,10000,1048.4150000000002
2,2,0.999,1,1027.864
2,2,0.999,100,1036.6699999999998
2,2,0.999,10000,1016.2079999999999
2,5,0.3,1,1016.208
2,5,0.3,100,1010.3799999999999
2,5,0.3,10000,1023.5249999999999
2,5,0.5,1,1010.3799999999998
2,5,0.5,100,1036.6699999999998
2,5,0.5,10000,1010.3799999999999
2,5,0.7,1,1033.6919999999998
2,5,0.7,100,1039.5199999999998
2,5,0.7,10000,1029.3529999999998
2,5,0.9,1,1030.931
2,5,0.9,100,1016.2079999999999
2,5,0.9,10000,1029.3529999999996
2,5,0.999,1,1016.208
2,5,0.999,100,1010.3799999999998
2,5,0.999,10000,1010.3799999999999
5,0,0.3,1,1035.1809999999998
5,0,0.3,100,1022.0359999999997
5,0,0.3,10000,1067.2989999999998
5,0,0.5,1,1049.904
5,0,0.5,100,1041.0089999999998
5,0,0.5,10000,1035.1809999999998
5,0,0.7,1,1066.205
5,0,0.7,100,1029.3529999999998
5,0,0.7,10000,1039.52
5,0,0.9,1,1027.864
5,0,0.9,100,1054.1539999999998
5,0,0.9,10000,1046.8369999999998
5,0,0.999,1,1027.864
5,0,0.999,100,1080.011
5,0,0.999,10000,1055.7319999999995
5,1,0.3,1,1016.208
5,1,0.3,100,1029.3529999999998
5,1,0.3,10000,1045.2959999999998
5,1,0.5,1,1022.0360000000001
5,1,0.5,100,1035.181
5,1,0.5,10000,1022.0360000000001
5,1,0.7,1,1016.2079999999999
5,1,0.7,100,1055.643
5,1,0.7,10000,1041.009
5,1,0.9,1,1035.181
5,1,0.9,100,1027.864
5,1,0.9,10000,1035.1809999999998
5,1,0.999,1,1035.181
5,1,0.999,100,1010.3799999999999
5,1,0.999,10000,1016.2079999999999
5,2,0.3,1,1022.0360000000001
5,2,0.3,100,1027.864
5,2,0.3,10000,1027.864
5,2,0.5,1,1029.3529999999996
5,2,0.5,100,1010.3799999999999
5,2,0.5,10000,1016.2079999999999
5,2,0.7,1,1010.3799999999999
5,2,0.7,100,1016.2079999999999
5,2,0.7,10000,1033.6919999999998
5,2,0.9,1,1022.0360000000001
5,2,0.9,100,1016.2080000000002
5,2,0.9,10000,1022.0359999999998
5,2,0.999,1,1010.3799999999999
5,2,0.999,100,1029.3529999999998
5,2,0.999,10000,1022.0359999999998
5,5,0.3,1,1036.6699999999996
5,5,0.3,100,1022.0359999999998
5,5,0.3,10000,1030.931
5,5,0.5,1,1022.0359999999998
5,5,0.5,100,1022.0359999999997
5,5,0.5,10000,1023.525
5,5,0.7,1,1010.3799999999999
5,5,0.7,100,1027.864
5,5,0.7,10000,1010.3799999999999
5,5,0.9,1,1010.3799999999998
5,5,0.9,100,1016.2080000000002
5,5,0.9,10000,1016.2079999999999
5,5,0.999,1,1025.103
5,5,0.999,100,1016.2079999999999
5,5,0.999,10000,1010.3800000000001
